stid,dsid,sitename,lat,long,dep_env,Lake/Bog/Neither [Andria],edited [Claire],notes [Claire],Site Notes [Grace&Jack],lake_size [ha],lake_size_andria_ge [m2],Notes [Andria],Status [Grace],Tilia's Entered Lake Size (ha) [Grace],Notes [Grace]
970,1001,Hail Lake,60.03333,-129.01667,Glacial Origin Lake,lake,3,No good indication of location and several nearby sites,,1,,,done,1,already in Neotoma
972,1003,Hanging Lake,68.38333,-138.38333,Lacustrine,lake,1,"No good map, but could line up from pictures in paper.",,57,,,done,60,kept Neotoma value
973,1004,Hansen Marsh,43.439585,-89.670815,Marsh,marsh,NA,NA,,NA,,,,,
975,1006,Harding Lake,64.44444,-146.9075,Lacustrine,lake,NA,NA,,NA,8.75,,,,
976,1007,Lac Harriman,48.2375,-65.83889,Natural Lake,lake,NA,NA,,NA,0.50,,,,
977,1008,Harrie Lake,52.93333,-66.95,Glacial Scour Lake,lake,NA,NA,,NA,,,,,
979,1010,Hawke Hills Kettle,47.32222,-53.13333,Fen,lake,NA,NA,,NA,,,,,
981,1012,Hawley Bog Pond-1,42.56667,-72.88333,Lacustrine,bog,NA,NA,,NA,,,,,
982,1013,Hay Lake,34,-109.425,Natural Lake,lake,1,"Confirmed site with Google Earth, Area looks highly variable by season",,2.8,,,done by Jack,2.8,already in Neotoma
983,1014,Baker Lake (Cole 1969),64.32433,-96.00572,Moss Polster,polster,NA,NA,,NotALake,,,,,
984,1015,Repulse Bay (Cole 1969) [Naujaat],66.52364,-86.23529,Moss Polster,polster,NA,NA,,NA,,,,,
985,1016,Pelly Lake Airport,66.06667,-101.08334,Moss Polster,polster,NA,NA,,NA,,,,,
986,1017,Cullaton Lake Airport,61.31631,-98.49204,Moss Polster,polster,NA,NA,,NA,,,,,
24272,1018,Churchill (Cole 1969),58.73903,-94.10165,Moss Polster,polster,NA,NA,,NA,,,,,
988,1019,Egg Lake (Cole 1069),54.35497,-101.39832,Moss Polster,polster,NA,NA,,NA,,,,,
989,1020,Raven Lake (Cole 1969),49.28218,-91.27361,Moss Polster,polster,NA,NA,,NA,,,,,
990,1021,Remi Lake (Cole 1969),49.42222,-82.1688,Moss Polster,polster,NA,NA,,NA,,,,,
991,1022,Klotz Lake (Cole 1969),49.79568,-85.86885,Moss Polster,polster,NA,NA,,NA,,,,,
992,1024,Headwaters Lake,67.93333,-155.05,Kettle Lake,lake,NA,NA,,NA,,,,,
993,1025,Healy Lake,64,-144.75,Fluvial Origin Lake,lake,NA,NA,,NA,,,,,
996,1028,Hebron Lake,58.2,-63.03333,Lacustrine,lake,NA,NA,,NA,,,,,
997,1030,Hedrick Pond,43.75,-110.6,Kettle Lake,lake,NA,NA,,NA,,,,,
998,1031,Helmetta Bog,40.38333,-74.43333,Mire,mire,NA,NA,,NA,,,,,
999,1032,Hemo Pond,47.133,-95.47461,Kettle Lake,lake,2,Assumed correct location in lake (unlabeled),,15.2,,,done,15.2,added dataset value
1000,1033,Tourbière de Lanoraie HENRI,45.98889,-73.3,Bog,bog,NA,NA,,NA,,,,,
6505,10967,Northeast Shark River Slough,25.74642,-80.58386,Marsh,marsh,NA,NA,,NA,,,,,
6506,10970,South Heron Lake,43.7195,-95.228,Kettle Lake,lake,2,"Confirmed lake, site description: kettle lake",,1080.6,,,done,1069,kept Neotoma value
6507,10971,Ocheda Lake,43.56928,-95.59275,Kettle Lake,lake,1,"Site description: kettle lake, Measured the central basin",,78.5,,,done,684,**kept Neotoma value
6510,10972,Hemlock Hollow,42.5375,-72.178,Small Hollow,hollow,NA,NA,,NA,,,,,
6511,10973,Blomford Lake,45.4935,-93.1545,Kettle Lake,lake,2,Assumed correct location in lake (unlabeled),,8.1,,,done,10,kept Neotoma value
6512,10974,Fawn Lake,45.4072,-93.0532,Kettle Lake,lake,2,"Confirmed lake, site description: kettle lake",,21.4,,,done,28.5,kept Neotoma value
6513,10975,Frovold Lake,45.377,-95.5625,Kettle Lake,lake,2,"Confirmed lake, site description: kettle lake",,26.2,,,done,26,kept Neotoma value
6514,10976,Goose Lake,44.99,-94.591,Kettle Lake,lake,1,Site description: kettle lake,,53,,,done,77,kept Neotoma value
6515,10977,Olson Lake,46.51205,-93.66005,Kettle Lake,lake,1,Site descirption: kettle lake,,5.5,,,done,6,kept Neotoma value
6521,10983,Round Grove Lake,44.709,-94.4935,Kettle Lake,lake,NA,NA,,NA,,,,,
1071,1104,Hidden Lake,63.94,-144.65833,Glacial Scour Lake,lake,NA,NA,,NA,,,,,
1072,1105,High Lake,44.51667,-76.6,Glacial Origin Lake,lake,3,Size is reported but insufficient detail to locate lake.,,2.5,,,done,2.4,kept Neotoma value
1076,1109,Blocknic Lake [Horse Pond],47.181535,-95.86866,Kettle Lake,lake,2,"Confirmed lake, site description: kettle lake",,6.9,,,,,**no site found
1080,1113,Houghton Bog,42.54167,-78.67028,Mire,mire,2,"Confirmed bog, changed area",,3.4,,,done,2,kept Neotoma value
1081,1114,Howes Prairie Marsh,41.65,-87.07222,Interdunal Lake,lake,2,Confirmed loc and area: Cole and Taylor 1995,,75,,,done,0.06,"**kept Neotoma value, couldn't confirm with Google Earth "
1100,1133,Hudson Lake,41.67,-86.53,Lacustrine,lake,NA,NA,,NA,,,,,
1101,1134,Hug Lake,47.95833,-90.93333,Kettle Lake,lake,NA,NA,,NA,,,,,
1102,1135,Humber Pond 3,43.64,-79.48,Fluvial Origin Lake,lake,NA,NA,,NA,,,,,
1103,1136,Humber Pond 5,43.64,-79.49,Fluvial Origin Lake,lake,NA,NA,,NA,,,,,
1104,1137,Humber Pond 7,43.65,-79.5,Fluvial Origin Lake,lake,NA,NA,,NA,,,,,
1105,1138,Hustler Lake,48.229815,-92.16005,Glacial Origin Lake,lake,1,Site description. Area: Kingston et al 1990,,109,,,done,109,already in Neotoma
1106,1139,Hynes Brook Salt Marsh,48.61861,-58.965,Coastal,marine,NA,NA,,NA,,,,,
1109,1142,Iglutalik Lake,66.135,-66.08333,Lacustrine,lake,1,"Confirmed site, changed area",,226.7,,,done,226.7,added dataset value
1113,1147,Indian Lake,50.91667,-90.45,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
1114,1148,Indian Prairie Fen,44.63333,-122.575,Fen,fen,NA,NA,,NA,,,,,
1115,1149,Inglesby Lake,44.48333,-77.05,Glacial Origin Lake,lake,1,"Confirmed site with pub (Fritz et al, 1987), changed area",,48,,,done,48,added dataset value
1117,1151,Iola Bog,44.5,-89.11694,Bog,bog,NA,NA,,NA,,,,,
1118,1152,Keystone Iron Fen,38.865,-107.03333,Fen,fen,NA,NA,,NA,,,,,
1119,1153,Irvin Lake,47.13556,-93.64361,Kettle Lake,lake,2,"Confirmed lake, site description",,2.6,,,done,3,kept Neotoma value
1123,1157,Jack Lake,47.31667,-81.76667,Lacustrine,lake,NA,NA,,NA,,,,,
1125,1160,Jackson Pond,37.43255,-85.72462,Solution Origin Lake,lake,NA,NA,,NA,,,,,
1127,1162,Jacob Lake,34.33333,-110.83333,Natural Lake,lake,NA,NA,,NA,,,,,
1128,1163,Jacobson Lake,46.41694,-92.71694,Kettle Lake,lake,NA,NA,,NA,,,,,
1136,1171,James Bay,50.22,-80.2,Lacustrine,lake,NA,NA,,NA,,,,,
7529,12001,Little Dollar Lake,46.186,-85.3082,Kettle Lake,lake,1,"Confirmed lake: site description, changed area",,9,,,done,4,kept Neotoma value
7531,12004,Last Lake,45.45,-95.24005,Kettle Lake,lake,3,"Minimum info, but located in a lake",,13.6,,,done,14,kept Neotoma value
7532,12005,Cottonwood Lake,44.6173,-95.68015,Kettle Lake,lake,2,"Confirmed lake, Minnesota DNR Lake ID",,148.4,,,done,131,kept Neotoma value
7533,12006,Monson Lake,45.324,-95.27935,Kettle Lake,lake,3,"Minimum info, but located in the lake",,82.2,,,done,84,kept Neotoma value
7534,12007,Deans Lake,44.77528,-93.44692,Fluvial terrace lake,lake,2,"Confirmed lake, site description",,68.7,,,done,50,kept Neotoma value
7535,12008,Lake Emily,44.30865,-93.92,Kettle Lake,lake,2,"Confirmed lake: ""lake data from Minnesota DNR""",,99.3,,,done,121,kept Neotoma value
7536,12009,Perch Lake,46.19165,-95.4687,Kettle Lake,lake,NA,NA,,NA,,,,,
7537,12010,Chub Lake,44.5635,-93.218805,Kettle Lake,lake,2,"Confirmed lake: ""lake data from Minnesota DNR""",,90.9,,,done,111,kept Neotoma value
7538,12011,Lake Rachel,45.80155,-95.55285,Kettle Lake,lake,2,"Confirmed lake, site description: kettle lake",,170.2,,,done,179,kept Neotoma value
7539,12012,Ziebell Lake,46.05545,-95.26345,Kettle Lake,lake,3,"Minimum info, but located in the lake",,9.7,,,done,12,kept Neotoma value
7540,12013,Mud Lake,45.8576,-95.4609,Kettle Lake,lake,3,"Minimum info, but located in the lake",,33.4,,,done,28,kept Neotoma value
7541,12014,Lybeck Lake,45.6745,-95.7125,Kettle Lake,lake,3,"Minimum info, but located in the lake",,30.7,,,done,35,kept Neotoma value
7542,12015,Union Lake,45.81725,-95.34235,Kettle Lake,lake,2,"Confirmed lake: ""lake data from Minnesota DNR""",,42.2,,,done,43,kept Neotoma value
7543,12016,Albert Lea Lake,43.65255,-93.284,Kettle Lake,lake,2,"Confirmed lake: ""lake data from Minnesota DNR""",,1075.5,,,done,1080,kept Neotoma value
7549,12024,Everhart Lake,43.6176,-93.43875,Kettle Lake,lake,3,"Minimum info, but located in the lake",,16.7,,,done,10,kept Neotoma value
1219,1254,Saint-Jean Ile d'Orléans,46.93278,-70.93278,Bog,bog,NA,NA,,NA,,,,,
1220,1255,Jewell Site,42.26,-93.7,Mire,mire,NA,NA,,NA,,,,,
8551,13029,Sharkey Lake,44.5924,-93.4132,Kettle Lake,lake,2,Assumed correct location in lake (unlabeled),,17.9,,,done,28,kept Neotoma value
8552,13032,Kimble Pond,44.21895,-93.84015,Kettle Lake,lake,2,Assumed correct location in lake (unlabeled),,4.3,,,done,4.9,kept Neotoma value
8559,13047,Irwin Smith Bog,45.0265,-83.61,Bog,bog,2,Confirmed bog and area: Booth et al 2012,,65,,,done,65,already in Neotoma
8561,13051,West Olaf Lake,46.5986,-96.18675,Kettle Lake,lake,2,Confirmed lake: Nelson and Hu 2008,,58.1,,,done,85,kept Neotoma value
8565,13056,Oak Glen Lake,43.92945,-93.0815,Kettle Lake,lake,2,"Confirmed lake, site description: kettle lake",,76.3,,,done,15,**kept Neotoma value
8566,13057,Camp Lake,45.40595,-95.39015,Natural Lake,lake,2,"Confirmed lake, site descirption: kettle lake",,85.7,,,done,93,kept Neotoma value
8567,13060,Adeline Lake,46.30235,-91.166,Kettle Lake,lake,1,Site description: Wisconsin DNR waterbody ID,,1.2,,,done,1.2,already in Neotoma
8572,13069,Elevenses Lake,46.3815,-91.4935,Kettle Lake,lake,3,Lynch 2011: confirmed lake and area but cannot loc,,2,,,done,2.8,already in Neotoma 
8573,13071,Eska Lake,45.19145,-90.608,Kettle Lake,lake,2,Site description: Wisconsin DNR waterbody ID,,4.2,,,done,4,kept Neotoma value
8574,13073,Fallison Lake,45.9915,-89.62075,Kettle Lake,lake,2,Site description: Wisconsin DNR waterbody ID,,20.6,,,done,20.6,already in Neotoma
