"target","variable.units","variable.element","variable.context","taxon.group","ecological.group","alias","match"
"Algae (type A)","NISP","cyst","NA","Algae","ALGA","NA","NA"
"Algae (type B)","NISP","cyst","NA","Algae","ALGA","NA","NA"
"Algae (type C)","NISP","cyst","NA","Algae","ALGA","NA","NA"
"Algae undiff.","NISP","cyst (reticulate)","NA","Algae","ALGA","NA","NA"
"Botryococcus","NISP","colony","NA","Algae","ALGA","Botryococcus","NA"
"Hydrodictyon","NISP","colony","NA","Algae","ALGA","NA","NA"
"Pediastrum","NISP","colony","NA","Algae","ALGA","NA","NA"
"Pediastrum boryanum","NISP","colony","NA","Algae","ALGA","NA","NA"
"Pediastrum duplex","NISP","colony","NA","Algae","ALGA","NA","NA"
"Pediastrum simplex","NISP","colony","NA","Algae","ALGA","NA","NA"
"Pediastrum undiff.","NISP","colony","NA","Algae","ALGA","NA","NA"
"Aquilapollenites","NISP","pollen","anachronic","Vascular plants","ANAC","NA","NA"
"cf. Clavabivesiculites pannosus","NISP","pollen","anachronic","Vascular plants","ANAC","NA","NA"
"cf. Foveoinaperturites scaphoformis","NISP","palynomorph","anachronic","Vascular plants","ANAC","NA","NA"
"cf. Gemmainaperturites rugosus","NISP","palynomorph","anachronic","Vascular plants","ANAC","NA","NA"
"cf. Punctatisporites punctus","NISP","spore","anachronic","Vascular plants","ANAC","NA","NA"
"cf. Striatriletes bifurcus","NISP","spore","anachronic","Vascular plants","ANAC","NA","NA"
"Cingutriletes congruens","NISP","spore","anachronic","Vascular plants","ANAC","NA","NA"
"Cingutriletes densocingulatus","NISP","spore","anachronic","Vascular plants","ANAC","NA","NA"
"Cingutriletes interruptus","NISP","spore","anachronic","Vascular plants","ANAC","NA","NA"
"Cingutriletes parvicingulus","NISP","spore","anachronic","Vascular plants","ANAC","Cingutriletes parvicingulus","NA"
"Classopollis","NISP","pollen","anachronic","Vascular plants","ANAC","Classopollis","NA"
"Cymatiosphere","NISP","palynomorph","anachronic","Unidentified","ANAC","Cymatiosphere","NA"
"Foveotriletes triplanus","NISP","spore","anachronic","Vascular plants","ANAC","NA","NA"
"Psilatriletes excelsus","NISP","spore","anachronic","Vascular plants","ANAC","NA","NA"
"Psilatriletes vitreus","NISP","spore","anachronic","Vascular plants","ANAC","NA","NA"
"Psilatriletes vulgaris","NISP","spore","anachronic","Vascular plants","ANAC","NA","NA"
"Retitetradites monocolpatus","NISP","pollen","anachronic","Vascular plants","ANAC","NA","NA"
"Retitricolpites prolatus","NISP","pollen","anachronic","Vascular plants","ANAC","NA","NA"
"Unknown (Cretaceous)","NISP","palynomorph","anachronic","Unidentified","ANAC","NA","NA"
"Sphagnum","NISP","spore","NA","Bryophytes","AQBR","NA","NA"
"Acorus calamus","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Alisma","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Alismataceae","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Alismataceae undiff.","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Araceae subf. Lemnoideae","NISP","pollen","NA","Vascular plants","AQVP","Araceae subf. Lemnoideae","NA"
"Brasenia","NISP","pollen","NA","Vascular plants","AQVP","Brasenia","NA"
"Brasenia schreberi","NISP","pollen","NA","Vascular plants","AQVP","Brasenia schreberi","NA"
"Calla palustris","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Callitriche","NISP","pollen","NA","Vascular plants","AQVP","Callitriche","NA"
"Caltha","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Caltha palustris","NISP","pollen","NA","Vascular plants","AQVP","Caltha palustris","NA"
"Ceratophyllum","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"cf. Decodon verticillatus","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"cf. Hottonia palustris","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"cf. Nymphaea","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"cf. Utricularia","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Cyperaceae cf. Rhynchospora alba","NISP","pollen","NA","Vascular plants","AQVP","Cyperaceae cf. Rhynchospora alba","NA"
"Decodon verticillatus","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Drosera","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Echinodorus","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Elodea","NISP","pollen","NA","Vascular plants","AQVP","Elodea","NA"
"Eriocaulon","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Eriophorum","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Heteranthera","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Hippuris","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Hippuris vulgaris","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Hydrocharis","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Isoëtes","NISP","spore","NA","Vascular plants","AQVP","NA","NA"
"Isoëtes echinospora","NISP","spore","NA","Vascular plants","AQVP","Isoëtes echinospora","NA"
"Isoëtes lacustris","NISP","spore","NA","Vascular plants","AQVP","NA","NA"
"Isoëtes undiff.","NISP","spore","NA","Vascular plants","AQVP","NA","NA"
"Lemna","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Lemna-type","NISP","pollen","NA","Vascular plants","AQVP","Lemna-type","NA"
"Menyanthes","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Menyanthes trifoliata","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Myriophyllum","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Myriophyllum alterniflorum","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Myriophyllum alterniflorum-type","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Myriophyllum sibiricum","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Myriophyllum sibiricum-type","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Myriophyllum verticillatum-type","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Myriophyllum-type","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Nuphar","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Nuphar","NISP digitized","pollen","NA","Vascular plants","AQVP","NA","NA"
"Nymphaea","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Nymphaeaceae","NISP","leaf-hair base","NA","Vascular plants","AQVP","NA","NA"
"Nymphaeaceae","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Nymphaeaceae undiff.","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Nymphoides-type","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Pontederia","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Pontederiaceae","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Potamogeton","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
"Potamogeton","NISP digitized","pollen","NA","Vascular plants","AQVP","NA","NA"
"Potamogeton natans","NISP","pollen","NA","Vascular plants","AQVP","Potamogeton natans","NA"
"Potamogeton natans-type","NISP","pollen","NA","Vascular plants","AQVP","NA","NA"
